Day,Active_Infected,Recovered,Cumulative_Infected
0,10.0,0.0,10.0
1,28.5,1.5,30.0
2,81.225,5.7749999999999995,87.0
3,231.49124999999998,17.95875,249.45
4,659.7500624999999,52.68243749999999,712.4324999999999
5,1880.2876781249997,151.64494687499996,2031.9326249999997
6,5358.819882656249,433.6880985937499,5792.507981249999
7,15272.636665570311,1237.5110809921873,16510.1477465625
8,43527.01449687539,3528.4065808277337,47055.421077703126
9,124051.99131609486,10057.458755359043,134109.4500714539
10,353548.17525087035,28665.257452773272,382213.43270364363
11,1007612.2994649805,81697.48374040383,1089309.7832053844
12,2871695.053475194,232839.32866015087,3104534.3821353456
13,8184330.902404304,663593.58668143,8847924.489085734
14,23325343.071852263,1891243.2220420756,25216586.293894343
15,66477227.754778944,5390044.682819915,71867272.43759887
16,189460099.10112,15361628.846036755,204821727.94715676
17,539961282.438192,43780643.71120475,583741926.1493968
18,1538889654.9488473,124774836.07693355,1663664491.0257807
19,4385835516.604216,355608284.31926066,4741443800.923475
20,12499631222.322014,1013483611.8098929,13513114834.131907
21,35623948983.61774,2888428295.158195,38512377278.77593
22,101528254603.31055,8232020642.700855,109760275246.01141
23,289355525619.43506,23461258833.197437,312816784452.6325
24,824663248015.3899,66864587676.1127,891527835691.5027
25,2350290256843.8613,190564074878.42117,2540854331722.282
26,6698327232005.005,543107613405.00037,7241434845410.005
27,19090232611214.266,1547856698205.751,20638089309420.016
28,54407162941960.66,4411391589887.891,58818554531848.55
29,155060414384587.88,12572466031181.988,167632880415769.88
30,441922180996075.44,35831528188870.17,477753709184945.6
31,1259478215838815.0,102119855338281.48,1361598071177096.5
32,3589512915140623.0,291041587714103.75,3880554502854726.5
33,1.0230111808150774e+16,829468524985197.2,1.1059580333135972e+16
34,2.9155818653229704e+16,2363985296207813.0,3.151980394943752e+16
35,8.309408316170467e+16,6737358094192268.0,8.983144125589693e+16
36,2.368181370108583e+17,1.920147056844797e+16,2.5601960757930627e+17
37,6.749316904809462e+17,5.472419112007671e+16,7.296558816010228e+17
38,1.9235553178706967e+18,1.5596394469221862e+17,2.0795192625629153e+18
39,5.482132655931486e+18,4.444972423728231e+17,5.926629898304309e+18
40,1.5624078069404735e+19,1.266817140762546e+18,1.6890895210167282e+19
41,4.452862249780349e+19,3.610428851173256e+18,4.8139051348976755e+19
42,1.2690657411873995e+20,1.028972222584378e+19,1.3719629634458373e+20
43,3.6168373623840886e+20,2.932570834365477e+19,3.910094445820636e+20
44,1.0307986482794652e+21,8.35782687794161e+19,1.1143769170588813e+21
45,2.9377761475964756e+21,2.3819806602133586e+20,3.1759742136178117e+21
46,8.372662020649955e+21,6.788644881608072e+20,9.051526508810763e+21
47,2.386208675885237e+22,1.9347637912583007e+21,2.5796850550110675e+22
48,6.800694726272925e+22,5.514076805086156e+21,7.3521024067815415e+22
49,1.9381979969877838e+23,1.5715118894495543e+22,2.095349185932739e+23
50,5.523864291415184e+23,4.47880888493123e+22,5.971745179908307e+23
51,1.5743013230533273e+24,1.2764605322054005e+23,1.7019473762738674e+24
52,4.486758770701983e+24,3.637912516785392e+23,4.850550022380522e+24
53,1.2787262496500651e+25,1.0368050672838366e+24,1.382406756378449e+25
54,3.644369811502686e+25,2.9548944417589345e+24,3.939859255678579e+25
55,1.0386453962782655e+26,8.421449159012963e+24,1.1228598878683951e+26
56,2.9601393793930564e+26,2.4001130103186946e+25,3.200150680424926e+26
57,8.43639723127021e+26,6.840322079408279e+25,9.120429439211039e+26
58,2.4043732109120098e+27,1.9494917926313593e+26,2.599322390175146e+27
59,6.852463651099229e+27,5.556051608999374e+26,7.408068811999166e+27
60,1.9529521405632803e+28,1.5834747085648217e+27,2.1112996114197623e+28
