Simulation_Run,Ending_Balance_INR
1,2256258.3301815423
2,2497402.4164048936
3,2636907.226243645
4,2751966.209408536
5,2550373.6299415273
6,2376603.465265107
7,2777370.746338743
8,2741060.998075917
9,2800150.3149230457
10,2404983.7868399066
11,3235687.851724813
12,2723919.8191475226
13,2590136.3067227993
14,2401220.6945447912
15,2910701.068367618
16,2541954.554003864
17,2160423.202229806
18,2501234.9915012154
19,2912755.9499136773
20,2767381.154481949
21,2397175.2262593047
22,2320841.5032454175
23,2545550.146670864
24,2752066.290068047
25,2914353.980744561
26,2794331.416695606
27,3057546.372769186
28,2879998.7331443443
29,2947020.1524935276
30,2434904.461547696
31,3107128.5056561064
32,3133717.987636227
33,2705717.674525273
34,2474229.814056741
35,2141978.4784269575
36,2746402.377264035
37,2543908.9427907052
38,2649483.01493122
39,2251157.5259220246
40,2424092.2429051707
41,2681121.5582770426
42,2625992.3188776295
43,2358643.615575322
44,2708642.7289668946
45,2741827.878605566
46,2563648.8486743006
47,2446971.4500859817
48,2597748.523011322
49,2664790.6446417323
50,2912658.977404163
51,2674277.166335024
52,2719945.4899092037
53,2803021.4311284563
54,2823314.4409626024
55,2314352.8898717696
56,2672827.0543213566
57,2709481.1705067283
58,2880783.2505262797
59,2574861.968607357
60,2735455.792641388
61,3020302.6838531327
62,2948738.3111018743
63,2306320.6998197334
64,2222162.4000600753
65,3022999.333046229
66,2464855.069453814
67,2406885.539859865
68,2949654.4783975845
69,2913724.649388178
70,2795782.385576648
71,2625301.1284435946
72,2483239.928207941
73,2622392.869018739
74,2859029.941542139
75,1985542.973487429
76,2645050.073809525
77,2857421.533804151
78,2920988.372747191
79,2384351.2091256087
80,2465438.43404502
81,2277526.604129108
82,2621770.072346353
83,2542900.000465501
84,3179876.6667841724
85,2247953.964371693
86,2388110.7685687616
87,2487342.0517552313
88,2962418.057418605
89,2457887.5893767914
90,2528441.8292467226
91,2652198.0248759417
92,2541827.390884407
93,2507975.7692786367
94,2264632.953993093
95,2536101.276198635
96,2431211.345592256
97,3070056.8387749097
98,2876913.381385743
99,3059083.6138806376
100,2530043.2182410853
101,2486799.9175016303
102,2089542.1876029081
103,2886991.0587757365
104,3183187.9905008087
105,2335455.3780456334
106,2893181.6763306116
107,2624902.0369945574
108,2613741.443297229
109,3231790.6831355123
110,2484525.35162026
111,2352478.0713636493
112,2659266.162262936
